Neural_Delay_tau,Predictive_Horizon_Tpred,Stable,Control_Effort,Total_Free_Energy
0.18947368421052632,0.042105263157894736,1,0.9346367501905322,0.005377426389494629
0.18947368421052632,0.06315789473684211,1,0.5661735369567859,0.0043860667241025775
0.18947368421052632,0.08421052631578947,1,0.5304998060581185,0.004167266162930999
0.18947368421052632,0.10526315789473684,1,0.5516646354681869,0.004153249151776659
0.18947368421052632,0.12631578947368421,1,0.564764056879197,0.004204229872833498
0.18947368421052632,0.14736842105263157,1,0.5704945535620116,0.0042764857035492146
0.18947368421052632,0.16842105263157894,1,0.5697315014091218,0.004357383748855961
0.18947368421052632,0.18947368421052632,1,0.563478859316423,0.0044459898394246765
0.18947368421052632,0.21052631578947367,1,0.49471496455303765,0.0045238171988947065
0.18947368421052632,0.23157894736842105,1,0.46082500837724427,0.004633416771985227
0.18947368421052632,0.25263157894736843,1,0.43356011998283694,0.004779315114671769
0.18947368421052632,0.2736842105263158,1,0.41129201426962597,0.004956697804845603
0.18947368421052632,0.29473684210526313,1,0.3928736943425195,0.005162719277960754
0.18947368421052632,0.3157894736842105,1,0.37747628163098623,0.005395882324051456
0.18947368421052632,0.3368421052631579,1,0.3644868213417339,0.005655670745753237
0.18947368421052632,0.35789473684210527,1,0.35344264051296537,0.005942327260427244
0.18947368421052632,0.37894736842105264,1,0.3439881130089651,0.006256719192512157
0.18947368421052632,0.4,1,0.3321955640309487,0.006783542204956427
0.21052631578947367,0.0,1,30.075113947329037,3.034074046700849
0.21052631578947367,0.021052631578947368,1,9.953852817211759,0.23491197340235284
0.21052631578947367,0.042105263157894736,1,3.2123807789965055,0.020131040885514723
0.21052631578947367,0.06315789473684211,1,1.181967168198346,0.005848524935501878
0.21052631578947367,0.08421052631578947,1,0.6231890073860228,0.0044266279845272425
0.21052631578947367,0.10526315789473684,1,0.5238841934823135,0.004183625830802083
0.21052631578947367,0.12631578947368421,1,0.5410510291742533,0.004178263920150852
0.21052631578947367,0.14736842105263157,1,0.5505651782775016,0.004240906285499668
0.21052631578947367,0.16842105263157894,1,0.5532613751917301,0.00432623392264249
0.21052631578947367,0.18947368421052632,1,0.5501142469608641,0.004422688064649776
0.21052631578947367,0.21052631578947367,1,0.5367662854940871,0.004588531918385368
0.21052631578947367,0.23157894736842105,1,0.49196776029199474,0.004674021361541113
0.21052631578947367,0.25263157894736843,1,0.45702622675710564,0.004804962917085821
0.21052631578947367,0.2736842105263158,1,0.42923548500069403,0.004972966807268163
0.21052631578947367,0.29473684210526313,1,0.40676766087848215,0.005173081095005344
0.21052631578947367,0.3157894736842105,1,0.38835238382373244,0.005402523108962857
0.21052631578947367,0.3368421052631579,1,0.37308284066645014,0.0056599729011004955
0.21052631578947367,0.35789473684210527,1,0.3602958455197066,0.00594516326032792
0.21052631578947367,0.37894736842105264,1,0.3494958053478841,0.006258636069401723
0.21052631578947367,0.4,1,0.3362195743651618,0.006784674218380318
0.23157894736842105,0.0,0,inf,inf
0.23157894736842105,0.021052631578947368,1,26.255511837916124,2.3161813621348224
0.23157894736842105,0.042105263157894736,1,8.549975782854263,0.17247698312996598
0.23157894736842105,0.06315789473684211,1,2.787290600717205,0.015645834950828063
0.23157894736842105,0.08421052631578947,1,1.0455932825233734,0.005280314070603241
0.23157894736842105,0.10526315789473684,1,0.5816174696810549,0.0043149980977545705
0.23157894736842105,0.12631578947368421,1,0.5252205139556653,0.0041877619571129765
0.23157894736842105,0.14736842105263157,1,0.5372535708207958,0.004224452158748582
0.23157894736842105,0.16842105263157894,1,0.5422523470403948,0.004307355625713242
0.23157894736842105,0.18947368421052632,1,0.5411724626857674,0.004407529325886786
0.23157894736842105,0.21052631578947367,1,0.5304625124530832,0.004580173804830757
0.23157894736842105,0.23157894736842105,1,0.5188432196755313,0.0047133989980140244
0.23157894736842105,0.25263157894736843,1,0.47675933859069014,0.004829745141246563
0.23157894736842105,0.2736842105263158,1,0.4439953030526468,0.004988783899938578
0.23157894736842105,0.29473684210526313,1,0.4179857408836921,0.005183301919443367
0.23157894736842105,0.3157894736842105,1,0.39699798654407614,0.005409211458919759
0.23157894736842105,0.3368421052631579,1,0.37982789460415384,0.00566441244777984
0.23157894736842105,0.35789473684210527,1,0.3656160382905522,0.005948159793313579
0.23157894736842105,0.37894736842105264,1,0.35373408295093234,0.006260698035882443
0.23157894736842105,0.4,1,0.3392847910396777,0.006785899211459833
0.25263157894736843,0.0,0,inf,inf
0.25263157894736843,0.021052631578947368,0,inf,inf
0.25263157894736843,0.042105263157894736,1,22.478917979735495,1.6993639851187616
0.25263157894736843,0.06315789473684211,1,7.224111013984472,0.12258134294035218
0.25263157894736843,0.08421052631578947,1,2.3829040932783716,0.012044331398713167
0.25263157894736843,0.10526315789473684,1,0.9173160392882399,0.004862508206294
0.25263157894736843,0.12631578947368421,1,0.5459578150414532,0.004258410328629252
0.25263157894736843,0.14736842105263157,1,0.523926524214858,0.004221144518399582
0.25263157894736843,0.16842105263157894,1,0.5312251717858973,0.004291543297873188
0.25263157894736843,0.18947368421052632,1,0.5322100828585229,0.004392998962582533
0.25263157894736843,0.21052631578947367,1,0.5241352959246979,0.0045718336156990854
0.25263157894736843,0.23157894736842105,1,0.5139640742701246,0.004708579750918503
0.25263157894736843,0.25263157894736843,1,0.5011916201109375,0.004862965540718332
0.25263157894736843,0.2736842105263158,1,0.46189025433853437,0.005009764277173433
0.25263157894736843,0.29473684210526313,1,0.43134640463765844,0.005196791909337571
0.25263157894736843,0.3157894736842105,1,0.4071418642284975,0.005418028634298391
0.25263157894736843,0.3368421052631579,1,0.3876436345824453,0.0056702700258578955
0.25263157894736843,0.35789473684210527,1,0.37171711537189916,0.005952117778269845
0.25263157894736843,0.37894736842105264,1,0.35855286721320173,0.006263420590767497
0.25263157894736843,0.4,1,0.3427345396267106,0.0067875067403768965
0.2736842105263158,0.0,0,inf,inf
0.2736842105263158,0.021052631578947368,0,inf,inf
0.2736842105263158,0.042105263157894736,0,inf,inf
0.2736842105263158,0.06315789473684211,1,18.840955120870493,1.192990868617374
0.2736842105263158,0.08421052631578947,1,5.993924432106765,0.084158037723794
0.2736842105263158,0.10526315789473684,1,2.0006658132668336,0.009283050746901073
0.2736842105263158,0.12631578947368421,1,0.8002356406154417,0.004583170552857937
0.2736842105263158,0.14736842105263157,1,0.5204483802640617,0.004252002342231858
