chi_kappa,L,P_counter,S_proprio,Deficit,Deficit_Ratio,Is_Deficit
0.01,0.22051282051282053,0.0014633869558946713,0.07315609049037662,-0.07169270353448196,0.020003624388418812,False
0.01,0.23076923076923078,0.0016026817661907577,0.0748380594183399,-0.07323537765214914,0.021415330363283077,False
0.01,0.24102564102564103,0.001748308158773028,0.07648304844323199,-0.07473474028445896,0.02285876667260033,False
0.01,0.2512820512820513,0.0019002661336414847,0.07809339447633563,-0.07619312834269415,0.024333250544222605,False
0.01,0.26153846153846155,0.002058555690796128,0.07967119819924494,-0.0776126425084488,0.025838141478028345,False
0.01,0.27179487179487183,0.0022231768302369568,0.08121835620209368,-0.07899517937185672,0.02737283705551833,False
0.01,0.28205128205128205,0.0023941295519639707,0.08273658770965217,-0.0803424581576882,0.0289367693089507,False
0.01,0.2923076923076923,0.00257141385597717,0.08422745696923163,-0.08165604311325446,0.0305294015574578,False
0.01,0.3025641025641026,0.0027550297422765566,0.08569239213121876,-0.08293736238894221,0.03215022563564154,False
0.01,0.3128205128205128,0.002944977210862126,0.08713270127132157,-0.08418772406045945,0.033798759454177756,False
0.01,0.3230769230769231,0.0031412562617338844,0.08854958606624969,-0.0854083298045158,0.035474544842973146,False
0.01,0.33333333333333337,0.003343866894891826,0.08994415352968174,-0.08660028663478991,0.03717714563613458,False
0.01,0.3435897435897436,0.003552809110335955,0.09131742613454322,-0.08776461702420726,0.03890614596497055,False
0.01,0.35384615384615387,0.00376808290806627,0.09267035058477203,-0.08890226767670577,0.0406611487308375,False
0.01,0.36410256410256414,0.003989688288082771,0.09400380545047822,-0.09001411716239545,0.04244177423417782,False
0.01,0.37435897435897436,0.004217625250385454,0.09531860784148158,-0.09110098259109613,0.04424765893978983,False
0.01,0.38461538461538464,0.0044518937949743235,0.09661551926323718,-0.09216362546826286,0.04607845436140297,False
0.01,0.3948717948717949,0.004692493921849381,0.09789525077434427,-0.09320275685249489,0.04793382605113218,False
0.01,0.40512820512820513,0.004939425631010624,0.09915846754482721,-0.09421904191381658,0.04981345268146289,False
0.01,0.4153846153846154,0.005192688922458051,0.10040579289814582,-0.09521310397568776,0.051717025209149496,False
0.01,0.4256410256410257,0.005452283796191665,0.10163781190665289,-0.09618552811046122,0.053644246111862394,False
0.01,0.4358974358974359,0.005718210252211467,0.1028550745993553,-0.09713686434714384,0.055594828689641614,False
0.01,0.4461538461538462,0.005990468290517452,0.1040580988318821,-0.09806763054136465,0.05756849642424994,False
0.01,0.4564102564102564,0.0062690579111096215,0.1052473728611434,-0.09897831495003377,0.05956498239039765,False
0.01,0.4666666666666667,0.006553979113987981,0.10642335766099163,-0.09986937854700365,0.061584028713560064,False
0.01,0.47692307692307695,0.006845231899152524,0.1075864890100339,-0.10074125711088137,0.06362538606975188,False
0.01,0.48717948717948717,0.0071428162666032505,0.10873717937841197,-0.10159436311180872,0.06568881322317381,False
0.01,0.49743589743589745,0.007446732216340165,0.10987581963671417,-0.102429087420374,0.06777407659812255,False
0.01,0.5076923076923077,0.0077569797483632635,0.11100278060709351,-0.10324580085873025,0.06988094988196684,False
0.01,0.5179487179487179,0.00807355886267255,0.1121184144740432,-0.10404485561137064,0.07200921365634973,False
0.01,0.5282051282051282,0.008396469559268021,0.11322305607004315,-0.10482658651077513,0.07415865505408824,False
0.01,0.5384615384615385,0.008725711838149677,0.1143170240493818,-0.10559131221123212,0.07632906743951287,False
0.01,0.5487179487179488,0.00906128569931752,0.11540062196181498,-0.10633933626249746,0.07852025011022745,False
0.01,0.558974358974359,0.00940319114277155,0.11647413923631518,-0.10707094809354363,0.08073200801847825,False
0.01,0.5692307692307692,0.00975142816851176,0.11753785208394499,-0.10778642391543322,0.08296415151050518,False
0.01,0.5794871794871794,0.01010599677653816,0.11859202432783635,-0.10848602755129819,0.08521649608241018,False
0.01,0.5897435897435898,0.010466896966850745,0.11963690816734161,-0.10917001120049087,0.08748886215122025,False
0.01,0.6,0.01083412873944951,0.12067274488262761,-0.1098386161431781,0.08978107483995106,False
0.02,0.2,0.004815168328644233,0.06967044174183609,-0.06485527341319186,0.06911350363597299,False
0.02,0.21025641025641026,0.005321694911539086,0.0714345295649756,-0.06611283465343652,0.07449751463259185,False
0.02,0.22051282051282053,0.005853547823578685,0.07315609049037662,-0.06730254266679794,0.08001449755367525,False
